Gender,Age Range,Head Size(cm^3),Brain Weight(grams),Class
0,2,2720,955,0
0,2,2773,1076,0
0,1,2857,1027,0
0,2,2864,1012,0
0,2,2937,1070,0
0,2,2939,1060,0
0,2,2989,1130,0
0,2,3000,1090,0
0,2,3058,1120,0
0,2,3067,1150,0
0,2,3069,1022,0
0,1,3071,1078,0
0,1,3082,1180,0
0,1,3090,1168,0
1,1,3095,1340,0
0,1,3104,1080,0
1,2,3124,1165,0
0,1,3145,1202,0
0,1,3156,1170,0
0,2,3156,1225,0
0,1,3158,1100,0
1,1,3165,1215,0
0,2,3165,1237,0
0,2,3170,1178,0
0,1,3171,1127,0
0,1,3175,1200,0
0,1,3181,1175,0
0,1,3203,1180,0
0,2,3214,1110,0
0,2,3218,1060,0
0,2,3228,1235,0
0,2,3233,1104,0
0,2,3246,1180,0
0,1,3248,1250,0
1,2,3249,1279,0
0,1,3267,1243,0
0,2,3268,1142,0
0,1,3269,1241,0
0,2,3277,1105,0
0,1,3279,1265,0
0,2,3284,1246,0
0,1,3292,1075,0
0,2,3297,1220,0
0,1,3302,1165,0
1,2,3309,1120,0
1,2,3318,1192,0
0,2,3318,1175,0
0,1,3323,1249,0
1,2,3329,1135,0
1,1,3334,1236,0
0,2,3344,1220,0
0,2,3352,1170,0
0,2,3354,1204,0
0,1,3358,1190,0
0,2,3360,1095,0
1,2,3362,1188,0
1,2,3372,1154,0
0,2,3381,1185,0
1,2,3383,1290,0
0,2,3389,1130,0
1,2,3391,1125,0
0,2,3391,1120,0
1,2,3393,1175,0
1,2,3394,1195,0
0,2,3394,1243,0
0,2,3394,1215,0
1,2,3399,1226,0
1,2,3399,1173,0
0,1,3401,1140,0
0,2,3402,1220,0
1,2,3406,1220,0
0,1,3413,1322,0
1,2,3415,1310,0
0,1,3436,1235,0
0,1,3438,1290,0
0,1,3439,1192,0
1,1,3443,1340,0
0,1,3451,1340,0
1,1,3454,1310,0
1,1,3458,1225,0
1,1,3466,1292,0
1,2,3473,1240,0
1,2,3478,1270,0
0,1,3479,1160,0
0,2,3479,1103,0
1,2,3490,1132,0
1,1,3492,1250,0
0,2,3493,1240,0
1,2,3495,1218,0
1,1,3497,1358,0
0,1,3497,1280,0
1,2,3499,1275,0
0,1,3503,1240,0
1,1,3505,1320,0
1,2,3506,1280,0
1,2,3524,1250,0
1,1,3527,1375,0
0,1,3530,1252,0
1,2,3532,1335,0
0,1,3533,1210,0
0,1,3548,1460,0
0,2,3556,1250,0
1,2,3558,1225,0
1,1,3559,1255,0
